epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a
1,1.0820751623600584,1.0820751623600584,0.0,0.7168105244636536,0.2906416058540344,0.503726065158844,0.5082712173461914,0.35889503359794617,0.38563403487205505,0.29362642765045166
2,0.9986283099968227,0.9986283099968227,0.0,0.7291192412376404,0.29504111409187317,0.5120801776647568,0.49767038226127625,0.3422723114490509,0.36594700813293457,0.2822030484676361
3,0.9586825083633284,0.9586825083633284,0.0,0.7424120306968689,0.2989121973514557,0.5206621140241623,0.4866062104701996,0.3520231544971466,0.3542364239692688,0.28983157873153687
4,0.9319935567897558,0.9319935567897558,0.0,0.752203106880188,0.3054451048374176,0.5288241058588028,0.4636751413345337,0.34531599283218384,0.337107390165329,0.28498339653015137
5,0.9093481938926894,0.9093481938926894,0.0,0.7574876546859741,0.307770699262619,0.5326291769742966,0.46789711713790894,0.34489884972572327,0.3360137939453125,0.28499916195869446
6,0.8909107321526514,0.8909107321526514,0.0,0.754378080368042,0.30152732133865356,0.5279527008533478,0.47487765550613403,0.36725714802742004,0.34599339962005615,0.301053911447525
7,0.8811894220572347,0.8811894220572347,0.0,0.7600054144859314,0.3059161603450775,0.5329607874155045,0.45931676030158997,0.3424462676048279,0.3220687806606293,0.28399989008903503
8,0.8649697017298835,0.8649697017298835,0.0,0.7598503828048706,0.3080524504184723,0.5339514166116714,0.46529507637023926,0.34541141986846924,0.33965003490448,0.28634408116340637
9,0.8470253318459833,0.8470253318459833,0.0,0.7624861001968384,0.306272029876709,0.5343790650367737,0.45921382308006287,0.3475210666656494,0.32859277725219727,0.2879598140716553
10,0.8254929343545151,0.8254929343545151,0.0,0.7617244124412537,0.2968396246433258,0.5292820185422897,0.45593157410621643,0.3468981087207794,0.3172416090965271,0.28793713450431824
11,0.8139755468223914,0.8139755468223914,0.0,0.7576209902763367,0.2943805754184723,0.5260007828474045,0.4660375416278839,0.3535666763782501,0.3256370425224304,0.2934301793575287
12,0.7994165497429443,0.7994165497429443,0.0,0.7598220109939575,0.2883911728858948,0.5241065919399261,0.4576157331466675,0.3456853926181793,0.3230534493923187,0.28653228282928467
13,0.7789600192647828,0.7789600192647828,0.0,0.7573859691619873,0.2829509377479553,0.5201684534549713,0.463227778673172,0.347104549407959,0.3312285244464874,0.2884647846221924
14,0.7665931564311805,0.7665931564311805,0.0,0.7575222849845886,0.27670562267303467,0.5171139538288116,0.46182307600975037,0.35142549872398376,0.32894134521484375,0.2924460470676422
15,0.7427248008751146,0.7427248008751146,0.0,0.756085991859436,0.27060139179229736,0.5133436918258667,0.4561957120895386,0.3460785746574402,0.3179923892021179,0.28785818815231323
16,0.7231235290636587,0.7231235290636587,0.0,0.7564237713813782,0.26563701033592224,0.5110303908586502,0.46268564462661743,0.35448917746543884,0.32345905900001526,0.29408106207847595
17,0.7072517122139836,0.7072517122139836,0.0,0.7527171969413757,0.2611626982688904,0.5069399476051331,0.4678047299385071,0.35765495896339417,0.3190239369869232,0.2955668568611145
18,0.6953955089544237,0.6953955089544237,0.0,0.7547276020050049,0.2513975203037262,0.5030625611543655,0.46230894327163696,0.3569200932979584,0.321143239736557,0.29497030377388
19,0.667878840782389,0.667878840782389,0.0,0.7545447945594788,0.24855904281139374,0.5015519186854362,0.4600667953491211,0.35964497923851013,0.32293906807899475,0.29537180066108704
20,0.6512955809330361,0.6512955809330361,0.0,0.7507410645484924,0.23816640675067902,0.4944537356495857,0.4648929238319397,0.36252644658088684,0.3257935047149658,0.2975381910800934
21,0.626369126222077,0.626369126222077,0.0,0.7477332353591919,0.23000702261924744,0.48887012898921967,0.4662225842475891,0.3603697121143341,0.3236169219017029,0.29578128457069397
22,0.6147954545569012,0.6147954545569012,0.0,0.7436988949775696,0.22806447744369507,0.4858816862106323,0.4737386405467987,0.3580782413482666,0.32579243183135986,0.2936888039112091
23,0.5918529046745818,0.5918529046745818,0.0,0.7492067813873291,0.22461378574371338,0.48691028356552124,0.46331360936164856,0.3642653822898865,0.3177967667579651,0.29809001088142395
